City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,khandyga,62.6667,135.6,-35.0,100,100,0.7,RU,1700856567
65,maitum,6.0392,124.4986,25.829999999999984,81,20,2.11,PH,1700856567
66,tazovsky,67.4667,78.7,-21.05000000000001,93,20,5.49,RU,1700856568
67,tianpeng,30.9866,103.9393,15.5,83,84,1.44,CN,1700856569
68,barra dos coqueiros,-10.9089,-37.0386,28.160000000000025,69,0,5.66,BR,1700856453
69,port douglas,-16.4833,145.4667,24.629999999999995,83,100,3.22,AU,1700856570
70,key west,24.5557,-81.7826,26.149999999999977,85,100,3.09,US,1700856243
71,mineiros,-17.5694,-52.5511,28.870000000000005,51,100,2.56,BR,1700856572
72,cabo san lucas,22.8909,-109.9124,29.379999999999995,62,40,3.6,MX,1700856530
73,ust'-kut,56.7938,105.7672,-20.53,97,74,0.97,RU,1700856574
74,geraldton,-28.7667,114.6,16.379999999999995,88,100,1.03,AU,1700856575
75,fort morgan,40.2503,-103.8,-7.170000000000016,86,100,5.66,US,1700856577
76,gidrotorf,56.4744,43.5414,-7.860000000000014,91,100,4.47,RU,1700856577
77,severo-yeniseyskiy,60.3725,93.0408,-29.00999999999999,98,31,1.53,RU,1700856578
78,lebu,-37.6167,-73.65,14.560000000000002,75,6,6.98,CL,1700856579
79,chonchi,-42.6128,-73.8092,18.70999999999998,51,0,0.41,CL,1700856579
80,codrington,-38.2667,141.9667,13.629999999999995,97,34,2.66,AU,1700856580
81,la passe,45.5549,-0.8967,11.279999999999973,85,100,6.01,FR,1700856581
82,fale old settlement,-9.3852,-171.2468,29.019999999999982,76,100,6.87,TK,1700856582
83,puerto ayora,-0.7393,-90.3518,26.00999999999999,90,91,3.58,EC,1700856583
84,union city,37.5958,-122.0192,17.120000000000005,31,0,3.6,US,1700856584
85,byron bay,-28.65,153.6167,18.879999999999995,75,100,2.75,AU,1700856584
86,kulykivka,51.3735,31.6466,0.9300000000000068,88,93,6.92,UA,1700856585
87,zhaotong,27.3167,103.7167,7.3799999999999955,90,2,0.36,CN,1700856586
88,reggane,26.7158,0.1714,15.990000000000009,30,0,4.28,DZ,1700856587
89,east london,-33.0153,27.9116,20.769999999999982,88,100,1.98,ZA,1700856587
90,tianchang,37.9981,114.0156,-3.910000000000025,30,12,0.75,CN,1700856589
91,georgetown,5.4112,100.3354,27.339999999999975,82,20,4.63,MY,1700856344
92,angarsk,52.5367,103.8864,-18.44999999999999,84,100,1.97,RU,1700856590
93,wailua homesteads,22.0669,-159.378,26.680000000000007,78,0,4.12,US,1700856591
94,albany,42.6001,-73.9662,2.3999999999999773,63,82,2.24,US,1700856591
95,yuzhno-kurilsk,44.0306,145.8556,-0.19999999999998863,78,100,9.79,RU,1700856592
96,anadyr,64.75,177.4833,-4.569999999999993,93,75,4.0,RU,1700856593
97,vengerovo,55.6848,76.7471,0.2400000000000091,98,100,6.56,RU,1700856593
98,pollock pines,38.7613,-120.5866,10.980000000000018,39,0,3.13,US,1700856506
99,udachny,66.4167,112.4,-28.49000000000001,82,99,1.67,RU,1700856595
100,atafu village,-8.5421,-172.5159,27.420000000000016,82,100,8.96,TK,1700856595
101,yellowknife,62.456,-114.3525,-6.839999999999975,92,75,3.6,CA,1700856596
102,uturoa,-16.7333,-151.4333,26.25,88,100,10.69,PF,1700856597
103,fabens,31.5023,-106.1586,18.769999999999982,24,3,4.12,US,1700856597
104,haiku-pauwela,20.9219,-156.3051,27.470000000000027,64,20,1.54,US,1700856598
105,zakynthos,37.7914,20.8953,15.509999999999991,72,98,7.31,GR,1700856599
106,iqaluit,63.7506,-68.5145,-13.259999999999991,91,100,2.45,CA,1700856600
107,taoudenni,22.6783,-3.9836,19.0,18,0,4.65,ML,1700856601
108,mount pearl,47.5166,-52.7813,6.339999999999975,89,97,1.79,CA,1700856602
109,bethel,41.3712,-73.414,9.699999999999989,47,0,6.69,US,1700856603
110,veraval,20.9,70.3667,25.95999999999998,54,0,3.01,IN,1700856604
111,sinah,36.809,43.0389,10.149999999999977,57,0,1.7,IQ,1700856605
112,longmen,24.9597,118.0889,12.180000000000007,84,9,2.14,CN,1700856605
113,vilyuchinsk,52.9306,158.4028,-2.1100000000000136,83,100,3.68,RU,1700856606
114,zhalantun,48.0,122.7167,-20.659999999999997,81,2,2.97,CN,1700856607
115,cole harbour,44.6724,-63.4751,6.25,63,75,5.14,CA,1700856607
116,dryden,49.7833,-92.7503,-2.910000000000025,39,7,5.42,CA,1700856608
117,praia da vitoria,38.7333,-27.0667,18.899999999999977,100,75,2.92,PT,1700856609
